character,text,text_ru
YODA,"The very Republic is threatened, if involved the Sith are.","Сама Республика находится под угрозой, если в этом замешаны ситы."
YODA,"Hard to see, the dark side is. Discover who this assassin is, we must.","Сложно видеть, темная сторона в том, что мы должны раскрыть, кто этот убийца."
YODA,"With this Naboo queen you must stay, Qui-Gon. Protect her.","С этой королевой Набу ты должен остаться, Кви-Гон."
YODA,May the Force be with you.,Пусть Силы будут с вами.
YODA,(Cont'd) Master Qui-Gon more to say have you?,"Хозяин Кви-Гон сказал, что вы?"
YODA,"A vergence, you say?","Вы говорите, что он на грани?"
YODA,But you do! Rrevealed your opinion is.,"Но ты думаешь, что так оно и есть."
YODA,"Trained as a Jedi, you request for him?","Ты тренировался как джедай, ты просил его?"
YODA,Tested he will be.,"Проверил, что он будет."
YODA,"Good, good, young one. How feel you?","Хорошо, молодец, как ты себя чувствуешь?"
YODA,Afraid are you?,Боишься?
YODA,"See through you, we can.","Увидимся через тебя, мы можем."
YODA,Afraid to lose her..I think.,Боюсь потерять её... я думаю.
YODA,Eveything. Fear is the path to the dark side... fear leads to anger... anger leads to hate.. hate leads to suffering.,Страх - это путь к темной стороне... страх ведет к гневу... гнев ведет к ненависти... ненависть ведет к страданиям.
YODA,"A Jedi must have the deepest commitment, the most serious mind. I sense much fear in you.","У джедаев должны быть самые глубокие обязательства, самые серьезные мысли."
YODA,"Then continue, we will.",Тогда продолжим.
YODA,"...Correct you were, Qui-Gon.","...Так и есть, Кви-Гон."
YODA,"Clouded, this boy's future is. Masked by his youth.","Замкнутый, будущее этого мальчика в маске его юности."
YODA,"An apprentice, you have, Qui-Gon. Impossible, to take on a second.","Ученик, у тебя есть, Кви-Гон, не может занять секунду."
YODA,"Ready so early, are you? What know you of ready?","Так рано, что ты знаешь о готовности?"
YODA,"Our own council we will keep on who is ready. More to learn, he has...","Наш собственный совет, мы будем держаться подальше от того, кто готов."
YODA,And draw out the Queen's attacker.,И вычислите нападавшего королевы.
YODA,Young Skywalker's fate will be decided later.,Судьба Юного Скайуокера будет определена позже.
YODA,"Train him not. Take him with you, but train him not!","Возьми его с собой, но не тренируй его!"
YODA,"Confer on you, the level of Jedi Knight the Coucil does. But agree on you taking this boy as your Padawan learner, I do not.","Признайся тебе, рыцарь джедай, но соглашайся с тем, что этот парень будет твоим учителем Падавана, а я нет."
YODA,"The Chosen One the boy may be; nevertheless, grave danger I fear in his training.","Избранный может быть мальчиком; тем не менее, я боюсь серьезной опасности в его обучении."
YODA,"Qui-Gon's defiance I sense in you. Need that, you do not. Agree, the council does. Your apprentice, young Skywalker will be.","Я чувствую в тебе неповиновение Кви-Гона, нужно, чтобы ты этого не делал. Согласен, совет знает. Твой ученик, молодой Скайуокер будет."
YODA,Always two there are....no more...no less. A master and an apprentice.,Всегда есть двое... не больше... не меньше... мастера и ученика.
YODA,Premonitions . . . premonitions . . . Hmmmm . . . these visions you have . . .,Предчувствия . . . . . . . . . . . . . . . . . . эти видения . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
YODA,"Yourself you speak of, or someone you know?","Ты говоришь о себе или о ком-то, кого ты знаешь?"
YODA,. . . close to you?,..близка с тобой?
YODA,"Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side.","Осторожно, Энакин, когда ты чувствуешь будущее, страх потери - это путь к темной стороне."
YODA,"Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is.","Смерть - это естественная часть жизни. Радуйся тем, кто вокруг тебя превращается в Силу. Пожирай их, не скучай по ним. Привязь ведет к ревности, тень жадности, то есть."
YODA,Train yourself to let go of everything you fear to lose.,"Тренируйся, чтобы отпустить все, что ты боишься потерять."
YODA,"Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine.","Позволь мне, чтобы это назначение было легким, но Совет этого не делает."
YODA,"Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep.","Прячешься в Внешнем Крыльце, Гривус."
YODA,"Master Kenobi, our spies contact, you must, and then wait.","Мастер Кеноби, наши шпионы свяжутся с вами, а потом подождите."
YODA,"Go, I will. Good relations with the Wookiees, I have.",У меня были хорошие отношения с вуки.
